,id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,market,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,len_name,len_host_about,len_summary,len_description,len_neighborhood_overview,len_transit,count_amenities,count_host_verifications,amenities_wireless internet,amenities_heating,amenities_kitchen,amenities_smoke detector,amenities_essentials,amenities_dryer,amenities_washer,amenities_internet,amenities_shampoo,amenities_tv,amenities_carbon monoxide detector,amenities_fire extinguisher,amenities_free parking on premises,amenities_family/kid friendly,amenities_first aid kit,amenities_cable tv,amenities_indoor fireplace,amenities_pets live on this property,amenities_hangers,amenities_elevator in building,amenities_hair dryer,amenities_laptop friendly workspace,amenities_iron,amenities_safety card,amenities_air conditioning,amenities_24-hour check-in,amenities_buzzer/wireless intercom,amenities_dog(s),amenities_pets allowed,amenities_gym,amenities_cat(s),amenities_hot tub,amenities_wheelchair accessible,amenities_breakfast,amenities_suitable for events,amenities_pool,amenities_lock on bedroom door,amenities_doorman,amenities_smoking allowed,amenities_other pet(s),amenities_washer / dryer
10,175576,1893,"Seattle, Washington, United States",within a few hours,100.0,100.0,1,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,95.0,15.0,2,15.0,3,1 Week or less,a week ago,0,0,0,153,181,2011-07-21,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1,0,1,3.33,35,1208.0,239.0,1000,284.0,74.0,21,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4454295,1074,"Seattle, Washington, United States",within a few hours,100.0,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,99.0,150.0,1,0.0,3,1 month to 2 months,a week ago,21,21,21,229,8,2015-05-06,97.0,10.0,10.0,9.0,10.0,10.0,9.0,0,strict,0,0,1,0.98,32,224.0,247.0,705,100.0,36.0,12,5,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3883392,415,"Seattle, Washington, United States",within an hour,100.0,100.0,1,,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,245.0,95.0,1,0.0,3,1 week to 2 weeks,2 weeks ago,30,60,90,362,13,2014-11-09,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,0,1,0.92,34,542.0,232.0,1000,741.0,251.0,17,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8889257,357,"Kirkland, Washington, United States",within an hour,100.0,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,165.0,85.0,4,20.0,2,1 month to 2 months,today,13,40,63,337,3,2015-12-16,100.0,10.0,10.0,9.0,9.0,10.0,10.0,0,strict,0,0,1,3.0,31,706.0,250.0,1000,897.0,612.0,16,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5680462,401,"Seattle, Washington, United States",within an hour,100.0,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,16,3.5,6.0,15.0,Real Bed,461.0,300.0,8,50.0,3,2 weeks to 1 month,5 days ago,19,40,65,327,18,2015-06-15,98.0,9.0,10.0,10.0,10.0,10.0,10.0,1,strict,0,0,1,2.65,35,464.0,249.0,1000,896.0,426.0,19,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,8988178,1225,"Seattle, Washington, United States",within a few hours,100.0,100.0,0,,1.0,1,0,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",0,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,109.0,89.0,1,0.0,3,2 weeks to 1 month,3 days ago,30,60,69,69,1,2015-11-25,80.0,8.0,10.0,8.0,8.0,8.0,8.0,0,strict,0,0,1,0.73,31,174.0,81.0,1000,312.0,328.0,13,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3245876,808,"Seattle, Washington, United States",within an hour,100.0,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,66.0,35.0,1,25.0,1,1 week to 2 weeks,yesterday,29,59,89,364,84,2014-06-30,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0,moderate,0,0,1,4.55,29,667.0,255.0,1000,724.0,896.0,14,6,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
17,4933447,310,"Seattle, Washington, United States",within an hour,100.0,100.0,1,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Private room,2,1.0,1.0,1.0,Real Bed,99.0,15.0,1,0.0,2,1 week to 2 weeks,2 weeks ago,29,52,82,171,45,2015-03-16,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,0,0,1,4.58,30,0.0,250.0,1000,423.0,478.0,8,4,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7735464,1128,"Seattle, Washington, United States",,,,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Private room,2,2.0,1.0,1.0,Futon,200.0,,1,0.0,1,1 month to 2 months,5 months ago,0,0,0,125,0,,,,,,,,,0,flexible,0,0,1,,32,3.0,238.0,238,0.0,0.0,20,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6291829,97,"Seattle, Washington, United States",,,,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,10,3.5,5.0,5.0,Real Bed,700.0,250.0,1,0.0,3,2 weeks to 1 month,2 months ago,24,54,84,359,5,2015-07-07,85.0,10.0,9.0,9.0,9.0,8.0,8.0,0,flexible,0,0,1,0.82,34,499.0,249.0,1000,671.0,166.0,19,5,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
20,9218403,634,"Quilcene, Washington, United States",within a few hours,100.0,100.0,0,,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",0,Condominium,Entire home/apt,1,1.0,1.0,1.0,Real Bed,110.0,,1,0.0,1,1 month to 2 months,4 weeks ago,29,55,85,360,1,2016-01-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,0,0,1,1.0,27,0.0,246.0,585,202.0,0.0,11,4,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,4125779,397,"Seattle, Washington, United States",within an hour,100.0,100.0,0,Queen Anne,1.0,1,0,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Private room,3,1.5,1.0,2.0,Real Bed,99.0,15.0,1,10.0,1,1 month to 2 months,2 months ago,30,60,90,365,11,2014-09-27,84.0,9.0,9.0,9.0,9.0,10.0,8.0,0,moderate,0,0,1,0.71,33,577.0,297.0,1000,208.0,105.0,12,4,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8942678,46,"Seattle, Washington, United States",within a day,100.0,100.0,0,Queen Anne,1.0,1,0,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,8,2.0,4.0,4.0,Real Bed,450.0,,1,0.0,4,1 month to 2 months,2 months ago,0,0,0,53,1,2015-12-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,0,0,1,0.86,22,0.0,247.0,1000,326.0,66.0,13,2,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,10106055,164,"Seattle, Washington, United States",,,,0,Queen Anne,1.0,1,0,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Private room,2,1.0,1.0,1.0,Real Bed,75.0,,1,0.0,1,1 month to 2 months,today,30,60,90,365,0,,,,,,,,,0,flexible,0,0,1,,34,1059.0,249.0,1000,483.0,529.0,20,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
24,6362362,70,"Seattle, Washington, United States",,,,0,Queen Anne,1.0,1,0,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,5,2.5,3.0,3.0,Real Bed,600.0,150.0,1,0.0,3,1 month to 2 months,3 months ago,0,0,0,212,1,2015-07-20,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,0,1,0.18,27,0.0,152.0,929,0.0,64.0,12,3,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3544550,447,"Seattle, Washington, United States",within a few hours,67.0,100.0,0,Queen Anne,2.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,8,2.5,3.0,5.0,Real Bed,450.0,200.0,6,50.0,4,1 month to 2 months,today,0,3,33,293,8,2015-07-04,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0,strict,0,0,2,1.3,29,343.0,248.0,1000,669.0,202.0,16,5,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,9025039,2338,"Seattle, Washington, United States",within a few hours,100.0,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,150.0,35.0,1,0.0,1,1 month to 2 months,3 days ago,0,0,0,49,0,,,,,,,,,0,flexible,0,0,1,,34,89.0,206.0,1000,532.0,126.0,13,5,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3200646,1159,"Seattle, Washington, United States",within an hour,100.0,100.0,1,Queen Anne,5.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Camper/RV,Private room,2,1.0,1.0,1.0,Real Bed,45.0,25.0,1,0.0,2,1 Week or less,yesterday,22,49,49,107,80,2014-07-06,95.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict,1,1,5,4.38,31,263.0,246.0,1000,121.0,117.0,6,7,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8859380,1182,"Seattle, Washington, United States",within an hour,100.0,100.0,0,Queen Anne,5.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,300.0,125.0,1,0.0,2,1 month to 2 months,4 days ago,24,54,84,356,6,2015-10-24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,0,0,1,2.47,28,189.0,231.0,1000,817.0,210.0,18,5,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4520099,815,"Seattle, Washington, United States",within an hour,71.0,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,80.0,65.0,3,50.0,2,1 month to 2 months,5 days ago,0,1,30,305,4,2015-01-04,85.0,8.0,9.0,7.0,10.0,9.0,9.0,0,strict,0,0,1,0.33,26,0.0,271.0,1000,143.0,151.0,14,5,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,2481869,962,"Seattle, Washington, United States",within an hour,98.0,100.0,1,Queen Anne,6.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,175.0,40.0,1,0.0,2,1 month to 2 months,today,19,46,62,323,38,2014-05-01,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict,1,1,6,1.86,32,74.0,168.0,1000,167.0,162.0,14,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1110749,1022,"Seattle, Washington, United States",within a few hours,97.0,100.0,0,Queen Anne,9.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,6,1.5,3.0,3.0,Real Bed,325.0,100.0,6,60.0,2,1 month to 2 months,today,23,50,77,162,68,2013-06-15,92.0,9.0,9.0,10.0,9.0,10.0,9.0,0,strict,0,0,8,2.18,32,210.0,247.0,1000,379.0,101.0,13,6,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5978498,236,"Seattle, Washington, United States",within a day,60.0,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,4,3.0,3.0,2.0,Real Bed,175.0,80.0,1,0.0,4,1 month to 2 months,4 days ago,0,0,9,213,8,2015-07-06,88.0,9.0,9.0,9.0,9.0,10.0,9.0,0,flexible,0,0,1,1.31,32,0.0,248.0,1000,409.0,20.0,16,5,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5021081,306,US,within an hour,71.0,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,7,3.5,4.0,3.0,Real Bed,222.0,250.0,7,75.0,2,1 month to 2 months,today,0,0,0,2,5,2015-08-07,75.0,8.0,9.0,8.0,9.0,9.0,8.0,1,strict,0,0,1,0.99,25,0.0,248.0,1000,169.0,84.0,16,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1686930,810,US,within an hour,100.0,100.0,0,Queen Anne,1.0,1,0,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,159.0,99.0,1,0.0,1,1 month to 2 months,today,11,38,68,309,62,2013-10-08,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict,0,0,1,2.27,33,231.0,0.0,1000,545.0,1000.0,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,7680289,119,"Kirkland, Washington, United States",within an hour,100.0,100.0,0,Queen Anne,2.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,125.0,50.0,2,25.0,2,1 month to 2 months,2 weeks ago,30,60,90,353,19,2015-08-27,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,0,0,2,4.35,30,42.0,245.0,1000,210.0,102.0,16,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7207641,833,"Seattle, Washington, United States",within a day,50.0,,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,8,3.0,3.0,3.0,Real Bed,348.0,150.0,6,20.0,3,1 month to 2 months,5 months ago,0,0,0,153,5,2015-08-04,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict,0,0,1,0.97,32,352.0,157.0,1000,479.0,447.0,14,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5062445,456,"Seattle, Washington, United States",a few days or more,31.0,100.0,0,Queen Anne,1.0,1,0,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Private room,1,1.0,1.0,1.0,Futon,45.0,,1,0.0,1,1 month to 2 months,4 days ago,28,58,88,363,7,2015-05-17,97.0,9.0,8.0,10.0,10.0,10.0,10.0,0,flexible,0,0,1,0.9,31,734.0,249.0,1000,389.0,180.0,11,4,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8925878,138,"Kirkland, Washington, United States",within an hour,100.0,100.0,0,Queen Anne,2.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,150.0,50.0,2,25.0,2,1 month to 2 months,2 weeks ago,16,46,76,351,2,2015-10-25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,0,0,2,0.83,34,42.0,248.0,1000,252.0,131.0,12,4,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6389657,1234,"Seattle, Washington, United States",within a few hours,100.0,100.0,1,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98109,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,80.0,20.0,1,0.0,3,1 month to 2 months,today,12,38,40,201,11,2015-07-22,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,0,0,1,1.98,27,423.0,249.0,1000,354.0,115.0,20,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
