,score,comments
21,-7,"Place looked nothing like what is portrayed in the picture. It was basically like a government owned social housing scheme in a very ruined down area. Along with this it was extremely dirty and had no privacy as the door cannot be locked and is in fact just a plank of wood and there was a girl living in the other bedroom in the flat. The toilet was like something you would see in a prison cell and the kitchen area consisted of 1 cupboard and a sink .

Myself and boyfriend didn't stay one night and had to find a hostel in Boston city. When we said it to the landlord he didn't seem to be bothered and just denied that the property had any faults and didn't offer any kind of compensation.

I wouldn't advise any person to take up this accommodation as you will be highly disgusted. I also have pictures of what the accommodation actually looks like if you would like to see them just contact me."
22,-1,"Ich kann mich den vorherigen Bewertungen nur anschließen. Lisa war eine hervorragende Gastgeberin, meine späte Ankunft überhaupt kein Problem, ich wurde willkommen geheißen und noch durch die Wohnung geführt, auf dem Zimmer warteten dann warme Cookies und Snacks. Für meinen Aufenthalt in Boston hatte sie viele hilfreiche Tipps für mich und hat bei Bedarf auch mit Kartenmaterial ausgeholfen. Als ich spontan Besuch durch einen Freund erhielt und Lisa davon erzählt hatte, stand abends, ohne dass es explizit abgesprochen war, ein Feldbett vor meinem Zimmer. Ich habe mich während meines Aufenthalts rundum versorgt gefühlt, wenn etwas fehlte, konnte ich Lisa immer schnell erreichen und Probleme beheben, bevor sie wirklich aufkamen. Das Zimmer entsprach der Beschreibung, die gesamte Wohnung ist sehr gemütlich und kann von den Gästen auf zwei Etagen mitgenutzt werden. Ich kann einen Aufenthalt bei Lisa und Brian wärmstens empfehlen und würde jederzeit wieder dort buchen, wenn es mich erneut nach Boston verschlägt."
23,-1,"Lisa est une hôte bienveillante et tout est prêt pour que votre séjour se passe bien. J'ai eu des soucis de transports et Lisa m'a gentiment attendue. Bien qu'en-dehors du centre-ville, le logement est facilement accessible en transports en commun et il y a quelques commerces où faire quelques courses si nécessaire. "
24,-2,Très bien accueillie. Lisa fait tout son possible pour que le séjour soit agréable. Autobus en face et passe de métro un plus. 
25,-1,"Ma sœur et moi avons été bien accueillies par Lisa. Elle nous a fait faire le tour de nos chambres et des endroits communs. Tout a été fait en fonction pour que le séjour des voyageurs soit agréable. (Guide des règles de la maison, Lisa disponible en tout temps pour via message texte pour des questions ou des directions, air climatisé, déjeuners fournies, draps pour le lit et produits pour la salle de bain fournis etc.) Un gros plus : la Charlie card pour le transport en commun qui est fournie avec la location de la chambre est vraiment pratique et très appréciée. "
26,-11,"While others have had great experiences with Seamless, ours was unfortunately not a good one.

We booked a different apartment, but were informed the day before move in that the original apartment had a plumbing problem so we were moved into this one. But that was only after I called to ask why we didn't have move in instructions yet (I'd sent 3 emails asking where the move in instructions were with no reply).  

This apartment had had a long term renter in it that moved out the day before we arrived.  Seamless' cleaning crew worked on it all day and when we arrived it appeared clean on the surface, so we moved in.  Once we were in though we started to see just how dirty it was.  Filthy.  Old food stuck in the kitchen, food stuck in the kitchen sink, sticky spots on the floor, dirty furniture, dirty carpet.  On top of being dirty there was a burned out light bulb in the bathroom, one of the bathroom sinks didn't drain, one of the window blinds fell off when we opened it, the carbon monoxide detector chirped constantly, the elevator was broken (making a loud noise) keeping us up at night (they fixed that on day 3 of our stay). We wanted to move, but it was such a pain we decided to live with it.

I emailed Seamless 3 times while we were in the apartment about the filth and the issues with the apartment and never received a reply.  That's 6 total emails to them without a reply.  I would never rent from them again.


"
27,-2,"This apartment had everything we needed and was very clean. We would definitely stay there again. We didn't have any issues with the temperature while we were there, and it was an unusually cold spell, even for Boston."
28,-1,"De verhuurder was erg behulpzaam.  Ook al hebben we elkaar niet onmoet,  heeft ze vooraf en ook tijdens het verblijf snel op praktische vragen gereageerd.  De lokatie is fantastisch,  het appartement zelf gezellig en zeker als je alleen reist, prima van grootte.  Een fijn bed en een fijne douche. Het is er wel vrij donker,  de ramen komen uit op een binnenplaats, maar als je er overdag toch niet veel bent is dat natuurlijk geen probleem. "
29,-2,"Great location in Back Bay.  Bit tricky to get the key lock open as we arrived in the night and it is difficult to see the numbers.  Make sure you have a light of some sort to help you.  Very close to main shopping areas and bars/restaurants.
Appt itself is well equipped.  There are a few things that are annoying about the place but Jason responded to our issues very quickly  and has promised to look into them.  The main issue is the noise from other apartments ( this appt is the basement floor with other appts above it) , we think when using the shower.  This noise woke us up each day between 4 & 5 am, and we are not light sleepers at all, but this did disturb our rest. 
Overall we had a good time, and assuming that the issues we raised are resolved, we would return and recommend you to stay in this apartment."
30,-1,"Kartik est un hôte en or!!
Tout était parfait pour ma première expérience airbnb.
Kartik a facilité le check-in.
Dans la chambre il y avait des échantillons de shampooing, serviettes etc...
Il m'a aussi proposé du café pour le petit déjeuner .. C'etait parfait!
Merci encore Kartik!"
31,-6,"Very disappointed doesn't begin to explain how we felt about this trip. Booked for 3 nights and left after 1 (wouldn't have stayed one night if we had somewhere else to go). Dirty grubby apartment with single AC in one bedroom so rest of apartment was boiling, broken TV Screen, kitchen smelt of Gas, broken closet door, cracked tiles in bathroom that smelt damp, filthy stairs carpet, and dirty paint work.

Manged to get part of our money back (less than 50%)for canceled nights but only after several phone calls. Host was more interested in Airbnb cancelling booking so he could re let it rather than resolving our issues.

I have the pictures and would of posted them on my review but cant upload them despite the AirBnB review pages saying you can upload them. Not impressed
"
32,-2,"Good description provided to locate and access apartment. Was indeed close to airport as advertised, this was important to us. Besides that we were disappointed. Found it difficult to find a car park close to apartment. One air conditioner in main bedroom meant rest of apartment was quite hot. Floors were not level which was a bit disconcerting as was the weak gas smell in the kitchen. TV had a big crack through the screen. Thought about moving out after first night as it was not satisfactory for my family with three young children."
33,-2,"We were very disappointed. On the pictures the apartmend looked very nice, but it was dirty, especially in the bathroom an the plankets. There was an aggravating smell in the flat and especially in the staircase. The wardrobes were broken and also the skirting boards.
But Jordan was friendly and accessible at any time."
34,-1,"The apartment was very clean, all was like the description said, the apartment has a comple stuff... the only problem is that the internet connection some times is very slow and there was a leak in the bathroom."
35,-3,"The studio was in the basement and it was not bad.  Limited sunlight due to it being in the basement. There was a small, worn loveseat and a small tv.  Small makeshift kitchenette area with coffee. There are somewhat steep stairs down so keep that in mind.  It was sufficient for our needs for one night. "
36,-1,"Our host was a nice person, just beware its a basement and is prone to the issues a basement can have."
37,-1,"Sara was a very welcoming host and provided a tour of the space upon our arrival. This place is great if you are on a budget, but not the most comfortable during the summer since there is no AC. Like others had mentioned, there noticeable smell upon entering the apartment, probably due to the lack of ventilation in the space. A fan was provided, but it was an old fan that was so loud, that it was impossible to watch netflix and have the fan on at the same time. Additionally, the  roku to play netflix was an old system, so you can't even watch with subtitles on."
38,-3,"This host is very organized and accommodating. She walked us through her book of things to do and went out of her way to meet us at the door even when our flight was delayed late into the night.  The room is in the basement and unfortunately, does smell a bit of cat pee. Once the window is open, it helps air flow. "
39,-2,"Pros:
1. Well located - a few stops from downtown and attractions in Boston
2. Sara is well prepared and the room has everything you need

Cons:
1. Room smells of moisture very badly and we had to buy air freshner to be able to stay there
2. There were flies in the room, i killed 3
3. The room was tidy but thrre was dust on the furniture
4. The shower had very low water pressure"
40,-2,"Despite the good location and the attractions and facilities offered by Sara our arrival, my assessment is negative given that there is a strong urine smell of cat, in the room, impossible to remove and which makes the stay very unpleasant (reading other reviews it seems coming from far away not to take solutions)Definitely it would not repeat the stay"
41,-1,"PLEASE DO YOUR RESEARCH BEFORE BOOKING ANY AIR BNB ACCOMMODATION! DON'T go off the star rating and just read the first couple of pages of the reviews. Sarah's place was one of the first airBnB accommodations we had booked for our USA travel trip . Sarah was very lovely but unfortunately her place was not and it definitely wasn't up to airBNB standards based on the other accommodation we have now stayed at (some places were cheaper and at a 5 star level) There is a constant smell that I can only describe as cat urine or a dirty cat litter tray... and one window with a note asking you not to open it.. Thinking I dropped something, I glanced under the bed to discover a pile of dust which explained our allergies playing up...there was also an incredible amount of dust on the fan provided. It is very close to public transport which will get you everywhere you need to go easily and is only a short trip from the airport. Sarah has a file of great places to visit in Boston, has a washer and dryer which was also very convenient. If the above wouldn't bother you then I say book this accommodation...otherwise please look else where because the price she charges is not worth it. I hope Sara reads this and rectifies the issues I've posted because it ruined an otherwise perfect air BnB. "
42,-1,"Sara was really helpful re my arrival & also letting me leave my luggage til early afternoon as it meant I could do more tourist visits on my last morning. Access to the Subway was great - close, & quick into the City. The main entrance is not very nice, and once inside the building, the studio is down some narrow steep stairs which could be difficult for big cases or anyone a bit unsteady on their feet. As it's a basement it's dark. It was a hot spell during my visit & the air conditioner was helpful"
43,-1,"The apartment is very close to an mbta station, which makes it easy to reach downtown Boston quickly. The apartment itself is clean and equipped with everything you might need. It is below ground and has only a very small window that cannot be opened. As other visitors already commented, there is an unpleasant odor that was present during our entire stay. In case you're looking for the ""airbnb experience"" in the sense of interaction with the host, you might be disappointed: we met Sara only for check-in and check-out."
44,-9,"Unfortunately, I was far from being satisfied with my stay at Sara’s place, below is a detailed explanation why I feel that way. 
I arrived at Boston for a one-night stay after a transatlantic flight on my way to another destination. Although I came early in the morning (9:00am) Sara allowed me to check-in and made things easy. Sadly, in a later correspondence with her I found out that  “gesture” won't be possible anymore because (quoting from our email correspondence): ""In the future I am going to make my 2pm check-in time firm, and won't allow early bag drop-off, as it has become too much of an inconvenience to cater to the needs of every traveler's individual schedule"".
 All through the night I heard loud noises from the ceiling above me (be aware that the unit is simply her basement floor), of what seemed to be animals running back and forth. The fact that the noises might have been rates, made my sleeping uncomfortable. Retrospectively, I understood that a dog and a cat were the cause for the noises during the night – a fact that was not mentioned in her original airbnb posting.  For those of who consider rent this place – take into consideration the fact that this apartment is a basement above which two very active pets live. If you are allergic to animals, or if you simply don’t want to hear animals running on the floor above you, simply know that it’s a risk you’re gonna take if you’ll stay there.  
The description of the apartment is misleading: ""enjoy beautiful skyline views from across the harbor"". That is simply far from being true. That view is probably possible from the roof of the building, not from the windowless basement! 
Lastly, alas the least disappointing of all, is the fact that the pathway with the stairs leading to the basement were very narrow which made it very difficult to transfer my luggage through. 
Given the above, it is obvious that if I would have known it’ll be such a disaster, I would have paid more and stated somewhere else. 
After my visit, I email Sara expressing my concerns about the noises; her reply was rude and inconsiderate. To my surprise, instead of showing solidary and understanding, her response culminated in “most city apartments have pets” and “maybe next time you should just go to an hotel”. This is not what I would expect from ANY host. 
All in all, if you still reading that feedback, here is what you need to take from it -if you’re interested in a windowless basement unit with a super narrow staircase, with pets running above your head, and with a host that does not care about your feedback – this is your place!!
"
45,-1,"L'appartement est conforme à la description et est très bien situé. 5 minutes à pied du métro, 3 stations pour rejoindre downtown et tout proche de l'aéroport pour ceux qui arrivent ou repartent en avion. Il est très bien équipé et Sara est disponible. Elle répond rapidement aux questions, et nous a chaleureusement accueilli. Un très bon plan sur Boston, ville si chère en qualité de logement !"
46,-1,Waited up for my arrival -  since my plane was delayed and I didn't get in until the wee hours of the morning. Great crash pad near the airport.  I was able to walk to the to airport car rental facility the following day - saving me a night's rental. 
47,-1,"The location is great for sight-seeing, it's close to downtown and many historical sights. The building looks run down but the apartment itself has been renovated. It is nothing special but everything works. Wi-fi access was fast. Downsides: the restroom was quite small, the toilet seat was too close to the wall to the point it's uncomfortable, the exhaust fan was very loud."
48,-4,"Communication with host was good. It should be noted he is not the owner. It was downhill from there...

Apartment was terrible especially for the price they are asking. Entrance to building was filthy and there was construction debris scattered everywhere. Garbage in the hallway outside the apartment. Inside the apartment was a slight (and I mean slight) improvement. Bathroom was from the 1940's and shower had mould in it. There is drywall cut out throughout it in various spots, exposed electric panel (drywall cutout around it) - odd you don't see the drywall cutouts in the photos??!! I raised all of this with the host and got various excuses/reasons why for all of this. 

I stayed in it for 2 nights and had to leave. I asked for my money back and got nowhere. I realize Boston is an expensive city, but stay elsewhere. for $1100 USD I was HUGELY disappointed. "
49,-1,"Le logement était bien situé. 
Par contre, nous l'avons trouvé sale, il y avait des restes de nourritures sous le lit, la salle de bain était sale, et les draps n'avaient vraisemblablement pas été changés...
Nous n'avons pas vu Ahmed, il nous a envoyé son assistant venu en coup de vent à notre arrivée pour nous remettre les clés. Nous n'avons vu personne à notre départ et avons laissé les clés où nous pouvions !"
50,-3,"NEGATIVES.
1) I never met Ahmed, only Eddie, his friend...
2)Ahmed is very precautions,  no calls, no sms, no (SENSITIVE CONTENTS HIDDEN).. weird and lots of drama.
3)The apartment is smaller what I was thinking about. expensive because the buiding is really in bad conditions.
4) Every morning waking up at 8 am, workers making noisies fixing the building. It was compulsory and I demanded as a priority DO NOT BE DISTURBED, and next day I checked in, he said they will be fixing the building.
5) After checking in I didn't have any contact with Ahmed, I was complaining about the noise and I texted Eddie, and he said he doesn't work with that ) that Ahmed is the one dealing with reservations trying to find if he can find another apartment. Ahmed said no, and I didn't like his way just asking for me to explain and he was giving me silly reasons saying that the noisies from the apartment above probably they took the carpet out and that's why I hear the woman walking.
6) 2 floors by stairs, Forget it if u have big suitcase like me! No elevator because building is very old.
7) The bathroom need renovation URGENTLY, decoration from 30 s.

POSITIVES.
1) Hot water in shower and restroom in just seconds.
2) Location is very central.
3) Eddie brought an iron as I requested.
4) Eddie is very sympa."
51,-2,"All the good reviews are true and the apt is just as pictured, but unfortunately the review about construction noise is also true, at least currently (Dec 2015). 
Good news is future renters will have brand new windows, bad news is I was the one woken at 7:30 am and told to leave the apt because they were putting them in, followed by ungodly noise as they broke the windows across the airshaft so I couldn't just refuse and go back to sleep. 
With a noon checkout I think it's reasonable to expect to sleep till 10, but if you need to I'd suggest waiting till Feb 2016 or so before trying this building (though I bet he can charge more once the work is finished). If you're an early riser this is not a problem, and otherwise the price and location can't be beat."
52,-1,"Anthony a été très disponible pour moi. Sa famille a été très accueillante. La chambre était propre, rien à dire !"
53,-1,"The room was as described. It was very loud because of the Highway directly in front of the house. The T-Station was in 2 minute Walk distance. Anthony organized everything perfectly for us, but we did not meet him face2face. The communication with his family members was hard, they dont speak english. "
54,-1,it is very noisy but OK
55,-1,"The room is very bright and it is only two steps to the train that brings you downtown Boston! For that I recommend it to those who want to get easily to the city because it's not far at all! 
I was there with my boyfriend just for one night but honestly if we had booked for more nights I would have rather spent the double of the price and booked a hotel room... the bathroom was very dirty, hairs all over the floor and we wouldn't have managed to have a shower there if we weren't together! We didn't want to touch anything indide the bathroom! And since there it lives a family we didn't feel comfortable to use the kitchen and other spaces in common....
Anyway the room was clean, but since it is beside a high traffic road and the train it is noisy as hell! We were tired, that's why we had no problem to sleep!"
56,-10,"We stayed at Anthony’s place for 4 nights. It was our first Airbnb experience and after that, maybe our last.

We actually never met Anthony but only had contact with his family (as least we thing it was his family). She could barely speak english and we had a really hard time communicating. 

When we arrived we found hairs in the bed. There was no flat sheet, only a fitted sheet. We had to sleep with the duvet cover in direct contact. They were no other blankets and the room gets really cold as it it drafty. There was a bad smell in all of the appartement.


The worst part; The bathroom. It was smelly moldy and overall dirty. There was hair on the floor and the sink. The walls were covered in dirt and leftover glue from message that were glued on the walls. All hand towels were wet and smelly so we had nothing to dry our hands after washing them. The bathtub was moldy and very dirty. There is no fan in the bathroom and the window was always left closed so it smelled bad. We always felt dirtier after leaving the bathroom. The sink counter was always covered in water that was droping on the floor. The bath mat was always soaking wet. Towels were not provided. The timeframe to use the bathroom was also impossible. Since we couldn’t communicate with the family, we never knew when it was ok to take showers or even go to the bathroom. There was only one bathroom for everybody so it was almost always in use. When it wasn’t, it was even dirtier than before. Each morning, after the family used the bathroom, the lady would use the bathroom sink to clean and rinse her mop, there was brown dirt water and hair everywhere. Only after that we could use the bathroom and by then, it was almost 9;00. We tried to take our showers at night but the bathroom was also always in use. 

We were also supposed to have acces to the kitchen but it was so dirty  (food from the night before still on the table, plastic bags full of stuff on the counters) and there wasn’t any space for us. We only wanted to put a take out box in the fridge and there weren’t any space.   The pictures that you can see on the page are clearly of before they moved into the appartement

The pictures are also not of the present bedroom used. Furniture is not all the same. 

We would not go back. The price of the room is high for such a bad experience. It is also very noisy, even with earplugs we could ear the Highway.
"
57,-1,"this was falsely advertised, and arguably the worst place i have ever stay. ever. 

pictures are not accurate. 

the kitchen is so disgusting that the only thing we, very cautiously, used was the toaster.
the disgusting kitchen causes the entire apartment to smell bad.

bedroom is 'clean enough'.

did not meet anthony, but he seemed nice via text, email, etc."
58,-2,It was really cold outside when I was in Boston. And Anthony's place don't have central heating but there is one radiator working in the room. The windows were sealed by plastic film but you can still feel a little wind blowing in. I thought it would be cold that night but I didn't feel anything after falling into sleep. Maybe it is because I was too tired. The house is just one minute walking to metro station. Really convenient. It is not a bad experience anyway. 
59,-6,"I have used airbnb for almost 3 years, either by my own account or my sister's account, and I have to say this was my worst experience ever. I honestly never want to write anything negative when leaving comments, reviews, but last night was just too much for me. The biggest problem was the heater. It was ok during the 1st night, just a little bit loud. But on the 2nd night, it started to make very loud and weird noises periodically, about 1-2 times per hour, for the whole night. When I left the place, it was still making loud noises and all that completely ruined my night. I almost could not sleep the whole night, it was like a long nightmare, and the next day was a long day for me. I messaged host, he replied instantly but there wasnt anything that he could have done. I dont know if it has happened to anyone before, or I was just unlucky, but that was really the worst night ever I had using airbnb.This was a horrible experience. 
In addition, the bed was really bad. It kept collapsing very frequently although I was really gentle, and I had to keep fixing it. I cant even turn myself normally during night because it may collapse again. It was a really bad bed.
Again, I never want to post a negative comment, but this was just too much for me. I guess the only cons is that parking is easily available, and maybe a relatively low price. But still, I think for that price I can get a better place where I can at least sleep peacefully at night.
Lastly, Anthony was easy to contact with, he replied me instantly."
60,-1,"Great location and clean room.. there is a bar and breakfast nearby!But near the metro and the road which is t(PHONE NUMBER HIDDEN) noise ,and the radiator occasionally with a loud hissing noise... "
61,-1,It is very convenient to go to the downtown. The only problem is that it is noisy outside at night.
62,-1,"The room is sunny and there is a separate fridge. As a whole, this one is larger and better than the other one in the apartment. However, it's a little bit noisy. Washing machine and fridge in the kitchen cannot be used and there is not very much communication between host and me. The host didn't answer some of the questions I asked, which makes me a little bit disappointed. Also, breakfast is not provided as the description. Anyway, it's close to subway station."
63,-1,"Sami est très sympa et nous a bien accueilli, même si nous étions trop fatigués le soir pour rester discuter on à particulièrement bien dormi (en fait ça faisait longtemps qu'on a pas aussi bien dormi). L'appartement est très propre et bien rangé la salle de bain est grande et tout comme le reste de l'appartement elle est très propre.

Merci Sami pour cet accueil et à bientôt j'espère."
