,listing_id,id,date,reviewer_id,reviewer_name,comments,review_lang
823,6567683,43430433,2015-08-19,32701524,Jesus," Excelente ubicaci n en la ciudad el lugar muy limpio todo en su lugar y con instrucciones para todo , Shauna y Ben mantienen el lugar muy bien y con excelentes lugares cerca para ir a comer y dem s , Desde su balc n se puede ver el skyline de la ciudad y el resplandor de la misma , Mis amigos quedaron muy agusto con el lugar ellos han transcribi esto porque yo soy quien los recomend a usar AirBnB ya que no tienen a n su cuenta , Quiero agradecer a Shauna y Ben sus atenciones para con Claudia y Marlos y sus suegros en este viaje a Seattle despu s de un crucero a Alaska ",es
1149,2277640,18189827,2014-08-23,19011584,Shuang, Excellent ,ca
1223,6795678,43012065,2015-08-16,41098436,Emi,"  ,  ,  ,  ",ja
1306,3426639,38264964,2015-07-14,26022976,Hernan," Michael Leah y Austin siempre estuvieron disponibles y fueron muy amables durante nuestra visita La ubicaci n de la casa es excelente pues est cerca a muchos restaurantes un supermercado y una estaci n de bus pero a la vez est ubicada en una calle tranquila y silenciosa A pesar del fuerte calor que hac a en Seattle durante los d as de nuestra estad a nuestra habitaci n ten a aire acondicionado lo que solucionaba el problema ,  , El lugar siempre est limpio y cuenta con una cocina con todo lo necesario para guardar o preparar nuestra comida ,  , Recomiendo el lugar y agradezco a los anfitriones por ayudarnos a tener unos d as incre bles en Seattle , ",es
1375,3811955,45285303,2015-09-01,39742783,Adam, great,ro
1538,7249508,42444054,2015-08-13,34708261,James," Excellent nice place, No hassles",fr
1786,208356,9460490,2013-12-30,8861013,Janine," Die Unterkunft ist so wie beschrieben und die Hosts sind sehr freundlich und hilfsbereit Ich pers nlich fand es ein wenig k hl v a im Badezimmer hatten au en um die 7 C da es nur kleine Heizungen gibt die ber Strom betrieben werden und die Decken sehr hoch sind , Die Lage ist so dass man die Sehensw rdigkeiten zu Fu oder ber die nahe Ubahnstation leicht erreichen kann Wir fanden die Stadt allerdings nicht soo berzeugend es gibt zwar viele Kunstwerk etc aber sehr viele Verwahrloste Menschen und ein Geruch von F kalien etc in den Stra en ",de
1841,208356,15511738,2014-07-10,16114731,Eunchong,  ,ko
1842,208356,15533616,2014-07-11,3782347,Gasser," Le logement est comme sur les photos et bien plac par rapport au transport en commun , Dans le livre d instruction Dirk and Jaq ont laiss des bonnes adresses , Le quartier le soir est pas tr s recommandable , ",fr
1862,208356,18526167,2014-08-28,15166711,Riccardo," L esperienza presso il loft di Dirk Jaq stata molto piacevole tutto corrisponde a quanto indicato nell annuncio tutto molto funzionale e ordinato Il quartiere molto bello e abbastanza tranquillo diciamo in linea con il resto della downtown di Seattle , Ci sono vicinissimi all appartamento due ristoranti giapponesi ottimi un hotel bar storico fermate dei bus per tutte le direzioni e fermata del tram veloce per l aeroporto tutto a 5 minuti a piedi , In 15 minuti a piedi si arriva a Pike Market e al Safeco Field , Dirk e Jaq sono molto disponibili sia di persona che a comunicare tramite il servizio di messaggi di airbnb ",it
1884,208356,22289340,2014-11-03,1599324,Tobias, Wir haben Dirk and Jaq nicht pers nlich getroffen aber das war kein Problem Der Schl ssel war hinterlegt und alles lief reibungslos Die Wohnung ist zentral gelegen sauber und v llig ausreichend um Seattle zu erkunden Danke f r den Aufenthalt ,de
1888,208356,23291265,2014-11-28,20972683,Jiyeon,  ,ko
1918,208356,26181999,2015-02-06,23050856,Lu, nice place,ro
1943,208356,31783737,2015-05-10,20794918,Michael, Det gik meget fint med at f adgang til n gler v relset var fint og rent Indkvarteringen levede fint op til beskrivelsen og alt i alt meget fredelig og rolig Jeg f lte mig supergodt tilpas Toilet og bad var nydeligt indrettet og p nt og rent ,da
1948,208356,32679939,2015-05-20,26506526,Gunmin,  ,ko
1967,208356,35785204,2015-06-22,29789922,Giorgio," Tutto perfetto comunicazione gestita perfettamente ed egregia distribuzione delle chiavi Ottima posizione rispetto al centro citt , e rispetto alla logistica dei trasporti pubblici , La casa riflette quanto presentato nell annuncio siamo stati soddisfatti Seattle e molto bella , ",it
1986,208356,41574382,2015-08-08,27796945,Carmen, Der Aufenthalt bei Dirk und Jaq war wunderbar es ist alles perfekt organisiert sauber gem tlich und freundlich Die Location ist perfekt im Zentrum gelegen und schnell vom Bahnhof erreichbar Ideal f r einen St dtetripp in Seattle Vielen Dank f r die Gastfreundschaft ,de
2026,208356,53177567,2015-11-06,21791805,Christophe, C est la seconde fois que je loue un appartement l Il n y a aucune mauvaise surprise J appr cie la propret du logement Je le loue lorsque je vais Seattle car il est proche du Link et Train vers l a roport ,fr
2043,208356,57295422,2015-12-24,14657228,Asaka,  ,ja
2046,4569115,24318378,2014-12-25,24244325,Anthony, Nice place ,ro
2077,4569115,43397569,2015-08-19,38856811,Chris," Nous avons pass s un tr s bon moment Seattle Le logement tait tel que sur les photos Chaleureux lumineux et tr s bien localis Le propri taire si besoin respond nos question par email ou t l phone et sait se montrer l coute des locataires , Je conseil grandement cet appartement pour quelques jours sur Seattle Merci",fr
2109,6073437,47386380,2015-09-18,41975467,Soyeon,"  ,  5 ",ko
2227,5304739,28179441,2015-03-19,13256067,Nuria, Joe s Apartment ist sehr wohnlich und sauber Zudem hatte ich noch nie so viel Platz und Privatsph re Joe und seine Familie ist wirklich sehr nett und hilfsbereit ich w rde die Wohnung jeder Zeit wieder buchen ,de
2244,5304739,36663161,2015-06-30,30661493,Aina, Tanto la casa como el barrio son espectaculares Los propietarios cuidan todos los detalles y nos hemos sentido como en nuestra propia casa Muy c moda ,es
2304,5304739,57849998,2015-12-29,51414591,경숙,  Joe ,ko
2500,284087,17750668,2014-08-17,16092421,Karine, H te tr s disponible Cependant pas de laveuse ni s cheuse disponibles dans l appartement tel que pr vu Appartement bien situ mais tr s bruyant d autant plus qu il n y a pas d air climatis et qu il faut donc garder les fen tres ouvertes Finalement il n y a pas de moustiquaires aux fen tres de cet appartement au 11e tage ce qui rend cet appartement non s curitaire pour les familles avec enfants ,fr
2518,284087,43447513,2015-08-19,41298691,Yingchao, Very good,af
2542,6780615,40604640,2015-08-01,35820702,Matilde," El departamento aunque peque o tiene una excelente distribuci n de espacio cocina grande y abierta para departir el sof de la sala amplio y c modo quiz yo incluir a un sill n individual ba o de buen tama o y el cuarto aunque peque o tiene suficiente espacio para guardar las maletas y la ropa de forma que se vea ordenado Adem s por la simpleza de los objetos y muebles del departamento se trata de un espacio f cil de mantener limpio y en orden m s cuando Andrea tiene todos los utilensilios necesarios para facilitar esa tarea , Algo que llam nuestra atenci n es que todo desde las toallas hasta las ollas para cocinar parec a nuevo nada est descompuesto o a medio funcionar y siempre que algo se nos ofreci lo encontramos , La ubicaci n del departamento result tambi n muy conveniente sin estar en el barullo del centro est a 15 minutos en autobus el cual se toma a 30 mts del departamento La zona adem s es muy agradable para caminar y conocer Nosotros disfrutamos especialmente el Discovery Park , En cuanto a la asistencia Andrea sin ser persistente estuvo al pendiente de que estuvi ramos bien Unos d as antes de nuestra llegada me envi una serie de recomendaciones sobre el departamento la zona y la ciudad de Seattle que nos fueron muy tiles para ubicarnos y acomodarnos r pidamente Su disposici n y rapidez para dar respuesta a dudas permite que uno se sienta bien recibido Para nosotros fue nuestra primera experiencia a trav s de Airbnb y tanto por su servicio como por las condiciones del departamento no dudar amos en repetirla El trato fue siempre muy agradable Gracias",es
2543,6780615,41972222,2015-08-10,35791487,Bergit," Andrea ist eine ausgezeichnete Gastgeberin Sie hat uns mit allen wichtigen Informationen versorgt Die Kommunikation w hrend unseres Aufenthalt hat funktioniert , Das Appartement ist sehr sch n gelegen beraus sauber komplett ausgestattet und bot ausreichend Platz f r 4 Personen 2 Erwachsene 2 Kinder Parkm glichkeiten vor dem Haus waren jederzeit vorhanden Wir w rden es jederzeit wieder w hlen ",de
2616,23356,35656392,2015-06-21,31494939,Helena, Meille oli annettu perustiedot sis np semisest mutta sen yksityiskohtaisempia ohjeita talon sis puolella ei ollut Ainoa info koski j tteiden lajittelua Naapurusto oli aika karu ja hoitamaton Talo oli osittain viimeistelem t n mutta toimiva L hikadun liikenne ei h irinnyt merkitt v sti Majoittujam r n 6 n hden huoneita ja kylpytiloja oli riitt v sti Liikkuminen edellytt p s nt isesti omaa autoa Saimme puutteellista tietoa julkisesta liikenteest l heisest kaupasta mutta oma aloitteisuutemme pelasti meid t ,fi
2631,4374326,24452631,2014-12-28,25116458,Andrew, Same ,pt
2654,4374326,39226702,2015-07-21,36874595,Ana," Mi experiencia ha sido fant stica en todos los sentidos , Cuando llegu Carol estaba esperando y todo estaba preparado para mi Toda la casa est muy limpia y cuidada y Carol se ocupa muy profesionalmente de su mantenimiento , Pero lo mejor sin duda es la propia Carol La mejor y m s divertida anfitriona que he conocido con la que es imposible aburrirse y que siempre tiene buenos consejos y recomendaciones para hacer que tu estancia en Seattle sea diferente e inolvidable , Cuando vuelva a Seattle definitivamente quiero volver a este alojamiento ",es
2855,2670365,50220561,2015-10-10,42819372,Pianpian,  Matthew ,zh-cn
2944,4279876,47984150,2015-09-22,40489203,Carey,  ,zh-cn
3033,741699,15566497,2014-07-12,11203508,Alexandra/Philippe, Notre s jour a t tr s agr able L appartement est spacieux joliment am nag et confortable ,fr
3042,741699,18476859,2014-08-27,10842827,Steffi, Ein tolles Haus in einer tollen ruhigen Lage Leider waren wir nur f r eine Nacht dort w ren gerne l nger geblieben weil wir uns gleich wohlgef hlt haben Es war alles vorhanden was wir brauchten Gerne wieder ,de
3097,741699,34939798,2015-06-14,602696,Emilie, Superbe maison au calme tr s design et tr s confortable pour un s jour Seattle A environ 30 minutes du centre ville tr s bien desservi Matt s est rendu tr s disponible Nous y reviendrons avec plaisir Merci Matt,fr
3134,757840,4646508,2013-05-18,5345267,Susanne, Wir haben zu f nft das komfortable Haus mitten im sch nen Queen Anne Bezirk gemietet und waren begeistert Es ist mit allem ausgestattet vom N tzlichen wie alle K chenger te oder Waschmaschine bishin zu Extras wie Kamin zwei B der plus G stetoilette oder einem supersch nen grossen Holzesstisch es hat uns an nichts gemangelt was wir vermisst h tten Es war sauber modern eingerichtet und f r unsere Ausfl ge ideal gelegen Becky hat zus tzlich eine Hausmappe mit allerlei n tzlichen Informationen zu Autostrecken Aussichtspunkten Restaurants Caf s etc zusammengestellt wir haben uns sofort gut aufgehoben gef hlt und empfehlen sehr gern jedem dieses wundersch ne Haus weiter Denn auch bei nicht so un blichen Regentagen in Seattle bietet das Haus gen gend Freiraum zum Relaxen und Wohnen ,de
3139,757840,5244453,2013-06-20,6248460,Biel," Casa perfecta en todos sus detalles Limpia y ordenada Con todas las comodidades desde lo b sico 2 ba os 3 dormitorios armarios y cajoneras abundantes cocina con todos los utensilios lavadora secadora lavavajillas hasta detalles de calidad como tv con home cinema dvd equipo de m sica etc El jard n delantero cuidad simo y un peque o jard n interior con barbacoa Sitio para aparcar al lado de la casa La casa esta dedicada al alquiler no parece que vivan en ella pues todos los armarios est n a disposici n del hu sped Solo en el subterr neo donde est n la lavadora y secadora la due a tiene almacenados sus enseres ,  , Vecindario muy tranquilo y agradable Casas unifamiliares con jard n Muy cerca de una calle con restaurantes y tiendas de comestibles Esta a un paseo del Space Needle solo que al estar en una colina el regreso a casa es bastante empinado ,  , Informaci n la informaci n proporcionada en el manual de la casa es muy detallada y precisa tanto en referencia a la propia casa funcionamiento de los electrodom sticos normas etc como al vecindario y a los restaurantes o tiendas cercanas ,  , Una autentica delicia ",es
3328,3971934,24899291,2015-01-03,21662192,X,  ,zh-cn
3431,797358,27907784,2015-03-14,7102816,Marta," Liam est l h te id al G n rosit amabilit flexibilit disponibilit et tr s respectueux sont les adjectifs que j utiliserais pour le d finir La communication avec lui est tr s fluide et il procurera toujours vous faire sentir comme chez vous , La maison est plus que parfaite et vous pourriez profiter d un grand espace pendant votre s jour Le lit est extr mement confortable en plus les nuits sont calmes et id ales pour avoir une longue nuit de sommeil r parateur , La maison est juste 20 minutes du centre dans un cartier tr s vert et parsem de petites maisons en bois avec des jolis couleurs Le cartier est tr s calme et un endroit ou on s y sent vraiment en s curit , Sans aucune doute dans mon prochain s jour Seattle j adorerais s journer nouveau chez Liam ",fr
3441,797358,30904803,2015-04-28,31552598,Julia, Liam a t un h te parfait tr s flexible sur la venue et le d part et surtout tr s sympathique Il nous a indiqu les principaux int r ts de la ville et nous a m me pr t une carte La chambre tait extr mement confortable avec salle de bain priv e et acc s la cuisine et au salon Le quartier tait tr s calme 5 minutes du Light Rail pied et d un supermarch rien ne nous a manqu Nous sommes rest es seulement deux jours mais je recommande pour n importe quelle dur e ,fr
3493,4916433,26666003,2015-02-16,11997873,Yun Xu An,  120 house amily ,zh-cn
3612,7746170,43690937,2015-08-21,16802701,Katja, Brittany war eine sehr freundliche herzliche und offene Gastgeberin Gleich nachdem wir ankamen lud sie uns zu Salat und Getr nken ein Au erdem gab sie uns Tipps und Empfehlungen f r Restaurants Bars und Einkaufsm glichkeiten in der Nachbarschaft Das Haus liegt im brigen in einer sehr h bschen jungen sauberen und sicheren Nachbarschaft Wir hatten keinerlei Bedenken uns auch abends dort zu bewegen Das Zimmer war f r zwei Personen und lediglich zur bernachtung vollkommen ausreichend Au erdem hatten wir unser eigenes Badezimmer und einen separaten verschlie baren Eingang ber die Terrasse die wir auch au erdem nutzen konnten Insgesamt kann ich den Aufenthalt bei Brittany nur empfehlen ,de
3676,4236723,24256996,2014-12-23,24390731,Yangyang, it is good,af
3726,4236723,39560346,2015-07-24,24749646,华,  Chris 20 ,zh-cn
3748,4236723,49068776,2015-09-30,36643351,Martine, Logement bien plac dans un quartier agr able ,fr
3870,3139972,54862844,2015-11-25,23165897,James,  downtown ,ko
3883,6245498,41205044,2015-08-05,14824208,Gerhard, Wir sind dankbar dass wir eine wundersch ne Ferienwoche in Kevins sch nem gepflegtem und vollst ndig ausgestatteten Haus in sehr ruhiger und sicherer Umgebung verbringen durften Bei dem f r Seattle ungew hnlich hei em Wetter haben wir besonders den Aufenthalt in dem gepflegten Garten inmitten der vielen wundersch n bl henden Blumen genossen F r Besichtigungen ist die Innenstadt gut und schnell mit dem Schnellbus zu erreichen Wir haben eine rundum sch ne Woche in sehr angenehmer Umgebung verbracht Danke Kevin jederzeit wieder ,de
3890,6245498,47987633,2015-09-22,37813877,Thomas, Der Bungalow von Kevin bietet alle Annehmlichkeiten die man ben tigt und entsprach genau der Beschreibung Wir haben zu Dritt darin vier N chte darin verbracht und uns sehr wohl gef hlt Die Unterkunft verf gt neben 2 Schlafzimmern Bad und Wohnzimmer ber eine voll ausgestattete K che die benutzt werden kann das ist sehr praktisch Der Garten ist sehr h bsch und gepflegt und die Nachbarschaft sehr ruhig Es gibt mehrere B ckereien und Fr hst cks Restaurants die man unbedingt besuchen sollte F r manche mag die Entfernung zum Stadtzentrum von Seattle etwas zu sein etwa 20 min Fahrtzeit bis zum Seattle Center Dies stellte f r uns aber kein Problem da Von der Haupstrasse aus fahren regelm ssig Busse in das Zentrum und andere Stadteile Unser Gesamterlebnis war grossartig ,de
3974,456040,5346166,2013-06-25,6463870,Alain," Nous sommes extr mement satisfaits de notre s jour d abord parce que ce qui tait pr vu a t respect Une entr e ind pendante une belle chambre avec un lit tr s confortable salle de bains cuisine avec grand frigo buanderie disponible et le parking facile devant la maison A 2 minutes pied restaurants bars commerces facilit s pour le bus vers le downtown un quartier vert calme et tout pr s du lac un regal et l accueil de Chantel sympatique et souriant enfin conseiller absolument , De plus toute la documentation n cessaire pour notre s jour donc si on doit revenir ce sera chez Chantel ",fr
4065,456040,38104975,2015-07-13,30167544,Adriana," Chantel fue muy amable y c lida El basement est genial muy c modo y la colonia residencial muy bonita ,  ",es
4300,3953365,23777971,2014-12-09,20938014,Will,  ,.
4305,3953365,25534261,2015-01-18,26180267,Seth, Good Job,so
4367,3677729,22631631,2014-11-10,23358483,Elisabeth, Unser Aufenthalt bei Margaret war rundum perfekt Sie hat uns von Beginn an sehr herzlich aufgenommen sodass wir uns trotz des kurzen Aufenthalts wie zu Hause gef hlt haben Das Haus Zimmer und Bad sind genauso wie auf den Fotos sehr gem tlich sauber und sch n auch das Fr hst ck war sehr gut Mit ffentlichen Verkehrsmitteln mehrere Buslinien fahren in diesen Stadtteil ist das Haus sehr leicht und in etwa 20 30 Minuten von Downtown aus zu erreichen Wir w rden diese Unterkunft auf alle F lle weiterempfehlen und wenn wir wieder nach Seattle reisen ohne zu z gern wieder Margarets Zimmer buchen ,de
4524,1614502,30997793,2015-04-30,30583659,Xi,  ,zh-cn
4693,4208555,31000515,2015-04-30,29578929,Kathrine, Boendet var fantastiskt och med Allisons och Johns v gbeskrivning gjorde det l tt att hitta Smidigt med buss och metro Man kommer in med egen kod s inget v ntande eller kr nglande med nycklar Extra plus f r trevlig lkyl med kompis system ta en l l mna en l ,sv
4729,4593740,27753115,2015-03-10,11428492,Nick, Wonderful experience Beautiful space ,ro
4763,4593740,39157247,2015-07-21,14394381,Oleg,  Rahn ,ru
4972,2720963,39866371,2015-07-26,418134,Nicole, Super Gastgeber Kommunikation und Organisation hat trotz der kurzfristigen Buchung 1 Tag vor Ankunft super funktioniert Das Haus ist gro artig ,de
4977,8409975,49746004,2015-10-05,44918691,Otman, La chambre se trouve au rez de chauss e de la maison elle est super et le lit est tr s confortable La salle de bain se trouve au m me tage mais l etat de propret et le pommeau de douche laisse s rieusement desire La salle du bain en haut est beaucoup plus propre plus agr able Je n ai paw ete accueilli mon arriv e mais j ai rencontr fortuitement Allesandro un soir Je suis parti sans dire au revoir Bien pour les gens qui s en foutent de rencontrer du monde donc un peu d u dessus On est aussi loin du centre ville mais bon c est les states il faut une voiture cet endroit ,fr
5023,1100714,17233404,2014-08-09,12441027,Elizabeth, Ok,af
5029,1100714,19736518,2014-09-17,15146242,Belinda, Nous n avons pas eu l h te au t l phone ni ne l avons vu pendant notre nuit seattle L endroit est tr s grand,fr
5095,1100714,36758178,2015-07-01,26662315,Johan," Wij boekten voor tweemaal twee dagen deze verblijfplaats begin en einde juni 2015 , Positief punt de ligging op wandelafstand tegenover Downtown Seattle en het park in de onmiddellijke buurt , Negatieve punten In tegenstelling met de foto s op de website vonden wij een slordig ingerichte kelder van een woning De hele inrichting was allesbehalve netjes onderhouden Veel voorwerpen van de eigenares slingerden er rond Bij het binnentreden en ook daarna merkten wij een geur van schimmel in deze ondergrondse verblijfplaats Gedurende twee volle nachten verhuurder was toen niet thuis hoorden wij van uit ons bed muziek In een slaapkamer stond naast het bed een diepvriezer continu te draaien met een hinderlijk geluid ten gevolge De parkeerplaats was meestal ingenomen door een lokaal voertuig wat het binnen en buiten halen van de bagage erg bemoeilijkte De verhuurder zag dit maar kwam niet tussen , Conclusie misschien geschikt voor een backpack reiziger mits een lagere prijs Wij keren daar niet meer terug , ",nl
5167,5272327,34467824,2015-06-08,33658124,Kaja, Die kleine Keller Wohnung bei Emily ist sehr gem tlich Sie hat alles was man braucht und auch die Gr e ist optimal Die Gastgeber haben sich sehr um uns bem ht und waren immer ansprechbar und hilfsbereit Alles sehr sehr nett ,de
5176,5272327,41281031,2015-08-05,33381604,Viktor, Leiligheten l 15 minutter med buss unna Pike Place Market og bussforbindelsene var gode Vi ankom sent p kvelden uten at det var noe problem Leiligheten er stor og ren og inneholder alt du trenger for en kortere periode i Seattle WA Flott med egen inngang Emily hadde lagt frem brosjyrer og et kart over byen Hun pekte ogs ut noen lokale perler i nabolaget hva gjelder mat ,no
5256,6577295,39772649,2015-07-26,14130797,Johanna, Wir haben uns sehr wohl und willkommen gef hlt Yissie ist herzlich toll und hat alles daf r getan dass wir uns wohl gef hlt haben Sowohl downtown als auch der Flughafen sind sehr gut zu erreichen mit ffentlichen Verkehrsmitteln das Haus und Zimmer ist sauber und ordentlich Yissie hat uns viele tolle Tipps gegeben f r Seattle ,de
5408,2154617,31158131,2015-05-03,20452975,Søren," Jag var mycket n jd med min vistelse hos Nick L genheten r liten men fullt tillr cklig En dubbels ng och en enkels ng soffa med stor fin TV anl ggning K ket r cker f r enklare matlagning L get r suver nt n ra till allt Takterassen r h rlig och husets gym och pool bra f r den som vill anv nda det , Nick var mycket tillm tesg ende och svarade snabbt p fr gor ",sv
5447,2154617,45580002,2015-09-04,40006346,Jan Tadeusz, Der Name ist Programm Nach 10 Stunden Flug von Frankfurt sind wir bei Nick tats chlich mittendrin in Seattle gelandet Es gibt so viel zu sehen und zu erleben direkt vor der Haust r Dieses gem tliche Studio war f r uns ein ideales Refugium in der Stadt Danke Nick wir kommen sehr gern wieder ,de
5615,3995007,40302610,2015-07-30,23936703,Stefan, Unsere Gastgeberin war super alles hat geklappt Wohnung sauber und toll eingerichtet Bettsofa eignet sich nur bedingt f r 2 Personen Seattle kann man von dort problemlos zu Fuss erkunden ,de
5689,6375415,50077238,2015-10-09,40605305,Stella,  Jean Safeway Walgreen wholefoods Ballard pike Seattle Center ,no
5722,4477426,45058610,2015-08-31,19562592,Ramona, Micah war leider bei unserem Aufenthalt nicht zu Hause So hatten wir das ganze Haus f r uns Das Haus war sehr sauber Es liegt etwas ausserhalb des Zentrums Mit dem Bus f hrt man eine gute Viertelstunde in die City 2 75 pro Person kein Wechselgeld Ein Pluspunkt war dass wir die Waschmaschine und den Trockner benutzen durften Wir w rden wieder hier bernachten ,de
5725,8869027,52451595,2015-10-29,33170435,Dominik, Leider haben wir Christopher nicht pers nlich kennengelernt die Wohnung hat uns ein Bekannter gezeigt Die Kommunikation hat jedoch gut funktioniert und die Wohnung war super Die wichtigsten Sehensw rdigkeiten sind alle zu Fuss erreichbar 10 min zur Pine Pike Street Wir w rden diese Unterkunft sofort wieder buchen und haben uns rundum wohl gef hlt ,de
5758,226495,16250366,2014-07-24,15814256,Fernand, Tr s bon accueil en fran ais svp Appartement tr s correct dans un quartier proche de la ville par bus ,fr
6039,7649837,41695423,2015-08-08,39522950,文涛,  studio UW ,zh-cn
6126,4022127,32742907,2015-05-21,12729587,Erlend," Vi ankom veldig sent 16 mai natt til 17 mai mest grunnet flyet vi hadde fra Los Angeles var nesten 1 5 timer forsinket ,  , Francesco er veldig fleksibel og veldig im tekommende og en trivelig vert ha ,  , Leiligheten var ren og pen 2 store dobbeltsenger p hvert rom Passer perfekt for 2 voksne med 2 sm barn eller for 2 par som reiser sammen ,  , Nabolaget ligger som du selv vet p Alki Beach i Seattle og det er mange restauranter og et sv rt trivelig omr det lang stranden Det er mye folk n r det er fint v r ,  , Det er parkering p gateniv og er gratis Det er enkelt finne parkering i omr det men det er bare snakke med huseier og han er fleksibel der til hjelpe om det er problem med finne website hidden Sp r huseier om restauranten La Rustica Dette er onkelen til Francesco som eier og vi fikk en meget god opplevelse der god mat og god service Anbefaler ta turen innom der ",no
6134,4022127,35196411,2015-06-16,25626046,Mats, Pamela m tte oss och visade in oss i huset Inga konstigheter ver huvudtaget Allt st mde v l verens med beskrivningen Flera g nger under vistelsen fr gade b de Francesco och Pamela om allt var till bel tenhet och det var det Huset var rent och inneh ll allt som lovat ,sv
6139,4022127,37132146,2015-07-05,23675427,Tyron, Alki Beach,pl
6144,4022127,40197318,2015-07-29,9635476,Matthias," Francesco ist ein sehr zuvorkommender Gastgeber der uns freundlich empfangen hatte , Das Haus liegt 20 Meter vom Alki Beach entfernt und ist bequem und ansprechend eingerichtet Die zwei Schlafzimmer sind ger umig und haben sehr bequeme Betten , Die K che ist zweckm ig eingerichtet sie k nnte mit ein paar Utensilien erg nzt werden , Ungew hnlich jedoch auch so beschrieben wird kein Kabelfernsehen angeboten ",de
6167,4022127,57395107,2015-12-25,50701577,Shiwen, nice place,ro
6176,7205443,55437602,2015-12-01,47275686,Andrea," accoglienza tranquilla anche se non ci siamo capiti sull ora del check in , ma problema risolto in 10 min direttamente da Marshall , La casa un seminterrato carinissimo e molto pulito situata in un quartiere molto tranquillo a 5 10 min di bus da Pike Place , per i fumatori c un tranquillo giardino dove poter fumare le prelibatezze di Uncle Ike s situato a pochi passi ",it
